race_id,venue,date,race_no,axis,invest,return,payout_100,hit,actual,n_bets,bets,engine
2320260217010010,取手,2026-02-17,10,5,2700,0,2090,False,4-1-3,14,"5-3-7,5-3-4,5-7-3,5-1-3,7-5-3",EngineB
2320260217010011,取手,2026-02-17,11,2,2600,0,26350,False,4-1-2,14,"2-4-5,2-4-7,2-5-4,2-7-4,4-2-5",EngineB
2320260217020006,取手,2026-02-18,6,1,2400,0,25050,False,1-2-7,14,"2-5-1,2-1-5,2-1-4,5-2-4,5-2-1",EngineB
2320260217020007,取手,2026-02-18,7,7,2300,790,790,True,7-3-1,14,"7-4-1,7-4-2,7-1-4,7-2-4,7-1-5",EngineB
2320260217030005,取手,2026-02-19,5,4,2400,0,2260,False,4-3-5,14,"1-7-5,7-1-5,4-1-7,4-7-1,7-2-3",EngineB
2420260131020007,宇都宮,2026-02-01,7,4,2600,6850,6850,True,4-6-5,14,"6-1-4,6-4-1,1-6-4,4-6-1,4-6-3",EngineB
2420260131020010,宇都宮,2026-02-01,10,2,2500,0,1320,False,2-4-3,14,"2-7-4,7-2-1,2-7-1,2-4-7,4-2-7",EngineB
2420260131030005,宇都宮,2026-02-02,5,2,2700,8580,8580,True,1-6-4,14,"6-4-2,4-2-6,1-4-6,2-4-6,6-1-4",EngineB
2420260131030006,宇都宮,2026-02-02,6,5,2500,0,36080,False,7-6-5,14,"5-2-4,5-4-2,5-4-6,2-5-4,5-2-7",EngineB
2420260131030010,宇都宮,2026-02-02,10,3,2600,0,6680,False,2-3-7,14,"3-4-1,4-3-1,3-1-4,1-3-4,3-4-2",EngineB
2420260214010006,宇都宮,2026-02-14,6,3,2400,11690,11690,True,3-5-7,14,"3-5-4,3-4-5,3-5-7,3-4-1,3-7-5",EngineB
