sort,min_ev,max_n,n,hits,hr,roi,profit,gami_rate,roi_ex1,avg_bets,skipped
ev,2.0,14,184,9,4.891304347826087,230.38177339901478,105870,0.0,167.22906403940888,4.413043478260869,58
ev,2.0,10,184,9,4.891304347826087,230.38177339901478,105870,0.0,167.22906403940888,4.413043478260869,58
prob,1.0,7,193,11,5.699481865284974,200.57984790874522,105810,0.0,139.64828897338404,5.450777202072539,49
prob,1.0,10,193,11,5.699481865284974,196.28837209302327,103510,0.0,136.66046511627908,5.569948186528498,49
ev,1.0,10,193,11,5.699481865284974,196.10594795539035,103410,0.0,136.53345724907064,5.575129533678757,49
prob,1.2,5,192,10,5.208333333333334,212.8056768558952,103330,0.0,156.8231441048035,4.770833333333333,50
ev,1.2,5,192,10,5.208333333333334,212.8056768558952,103330,0.0,156.8231441048035,4.770833333333333,50
prob,1.0,14,193,11,5.699481865284974,194.1214351425943,102310,0.0,135.15179392824288,5.632124352331606,49
ev,1.0,14,193,11,5.699481865284974,194.1214351425943,102310,0.0,135.15179392824288,5.632124352331606,49
ev,1.5,7,188,9,4.787234042553192,212.34065934065933,102230,0.0,155.98901098901098,4.840425531914893,54
prob,1.5,7,188,9,4.787234042553192,212.10757409440174,102130,0.0,155.8177826564215,4.845744680851064,54
prob,1.5,10,188,9,4.787234042553192,209.1233766233766,100830,0.0,153.62554112554113,4.914893617021277,54
ev,1.5,10,188,9,4.787234042553192,208.89729729729729,100730,0.0,153.45945945945948,4.920212765957447,54
prob,1.5,14,188,9,4.787234042553192,206.88436830835118,99830,0.0,151.98072805139188,4.968085106382978,54
ev,1.5,14,188,9,4.787234042553192,206.88436830835118,99830,0.0,151.98072805139188,4.968085106382978,54
ev,1.2,7,192,10,5.208333333333334,199.31492842535786,97130,0.0,146.88139059304703,5.09375,50
prob,1.2,7,192,10,5.208333333333334,199.11133810010216,97030,0.0,146.73135852911133,5.098958333333333,50
prob,1.2,10,192,10,5.208333333333334,195.90954773869348,95430,0.0,144.37185929648243,5.182291666666667,50
ev,1.2,10,192,10,5.208333333333334,195.7128514056225,95330,0.0,144.22690763052208,5.1875,50
prob,1.2,14,192,10,5.208333333333334,193.96019900497512,94430,0.0,142.93532338308458,5.234375,50
ev,1.2,14,192,10,5.208333333333334,193.96019900497512,94430,0.0,142.93532338308458,5.234375,50
prob,3.0,5,174,9,5.172413793103448,238.87692307692308,90270,0.0,180.84615384615387,3.735632183908046,68
ev,3.0,5,174,9,5.172413793103448,238.5099846390169,90170,0.0,180.568356374808,3.7413793103448274,68
ev,3.0,7,174,9,5.172413793103448,233.13813813813815,88670,0.0,176.5015015015015,3.8275862068965516,68
prob,3.0,7,174,9,5.172413793103448,232.7886056971514,88570,0.0,176.2368815592204,3.8333333333333335,68
prob,3.0,14,174,9,5.172413793103448,231.40089418777941,88170,0.0,175.18628912071534,3.8563218390804597,68
prob,3.0,10,174,9,5.172413793103448,231.40089418777941,88170,0.0,175.18628912071534,3.8563218390804597,68
ev,3.0,14,174,9,5.172413793103448,231.40089418777941,88170,0.0,175.18628912071534,3.8563218390804597,68
ev,3.0,10,174,9,5.172413793103448,231.40089418777941,88170,0.0,175.18628912071534,3.8563218390804597,68
